X,CH1,
Second,Volt,
-3.9999995e-02,0.00000e+00,
-3.9799996e-02,2.00000e-03,
-3.9599996e-02,0.00000e+00,
-3.9399996e-02,2.00000e-03,
-3.9199993e-02,-2.00000e-03,
-3.8999993e-02,2.00000e-03,
-3.8799994e-02,0.00000e+00,
-3.8599994e-02,-2.00000e-03,
-3.8399994e-02,-2.00000e-03,
-3.8199995e-02,0.00000e+00,
-3.7999995e-02,-2.00000e-03,
-3.7799995e-02,2.00000e-03,
-3.7599996e-02,0.00000e+00,
-3.7399996e-02,2.00000e-03,
-3.7199996e-02,2.00000e-03,
-3.6999993e-02,0.00000e+00,
-3.6799993e-02,2.00000e-03,
-3.6599994e-02,0.00000e+00,
-3.6399994e-02,2.00000e-03,
-3.6199994e-02,0.00000e+00,
-3.5999995e-02,2.00000e-03,
-3.5799995e-02,0.00000e+00,
-3.5599995e-02,-2.00000e-03,
-3.5399996e-02,2.00000e-03,
-3.5199996e-02,-2.00000e-03,
-3.4999996e-02,2.00000e-03,
-3.4799997e-02,2.00000e-03,
-3.4599993e-02,0.00000e+00,
-3.4399994e-02,0.00000e+00,
-3.4199994e-02,2.00000e-03,
-3.3999994e-02,0.00000e+00,
-3.3799995e-02,-4.00000e-03,
-3.3599995e-02,-2.00000e-03,
-3.3399995e-02,-6.00000e-03,
-3.3199996e-02,-4.00000e-03,
-3.2999996e-02,0.00000e+00,
-3.2799996e-02,-4.00000e-03,
-3.2599997e-02,0.00000e+00,
-3.2399997e-02,0.00000e+00,
-3.2199994e-02,2.00000e-03,
-3.1999994e-02,2.00000e-03,
-3.1799994e-02,-2.00000e-03,
-3.1599995e-02,0.00000e+00,
-3.1399995e-02,-6.00000e-03,
-3.1199995e-02,-4.00000e-03,
-3.0999996e-02,-6.00000e-03,
-3.0799996e-02,-4.00000e-03,
-3.0599996e-02,-2.00000e-03,
-3.0399997e-02,-2.00000e-03,
-3.0199997e-02,-4.00000e-03,
-2.9999994e-02,0.00000e+00,
-2.9799994e-02,2.00000e-03,
-2.9599994e-02,2.00000e-03,
-2.9399995e-02,0.00000e+00,
-2.9199995e-02,0.00000e+00,
-2.8999995e-02,2.00000e-03,
-2.8799996e-02,0.00000e+00,
-2.8599996e-02,-4.00000e-03,
-2.8399996e-02,-4.00000e-03,
-2.8199997e-02,0.00000e+00,
-2.7999997e-02,-2.00000e-03,
-2.7799997e-02,2.00000e-03,
-2.7599994e-02,4.00000e-03,
-2.7399994e-02,2.00000e-03,
-2.7199995e-02,6.00000e-03,
-2.6999995e-02,2.00000e-03,
-2.6799995e-02,4.00000e-03,
-2.6599996e-02,0.00000e+00,
-2.6399996e-02,2.00000e-03,
-2.6199996e-02,-4.00000e-03,
-2.5999997e-02,-4.00000e-03,
-2.5799997e-02,-2.00000e-03,
-2.5599997e-02,-4.00000e-03,
-2.5399998e-02,0.00000e+00,
-2.5199994e-02,0.00000e+00,
-2.4999995e-02,4.00000e-03,
-2.4799995e-02,2.00000e-03,
-2.4599995e-02,6.00000e-03,
-2.4399996e-02,6.00000e-03,
-2.4199996e-02,2.00000e-03,
-2.3999996e-02,2.00000e-03,
-2.3799997e-02,-2.00000e-03,
-2.3599997e-02,-2.00000e-03,
-2.3399998e-02,-6.00000e-03,
-2.3199998e-02,-6.00000e-03,
-2.2999994e-02,-4.00000e-03,
-2.2799995e-02,-6.00000e-03,
-2.2599995e-02,-2.00000e-03,
-2.2399995e-02,-2.00000e-03,
-2.2199996e-02,2.00000e-03,
-2.1999996e-02,2.00000e-03,
-2.1799996e-02,4.00000e-03,
-2.1599997e-02,4.00000e-03,
-2.1399997e-02,2.00000e-03,
-2.1199998e-02,0.00000e+00,
-2.0999998e-02,-2.00000e-03,
-2.0799998e-02,-4.00000e-03,
-2.0599995e-02,-8.00000e-03,
-2.0399995e-02,-8.00000e-03,
-2.0199995e-02,-1.00000e-02,
-1.9999996e-02,-8.00000e-03,
-1.9799996e-02,-4.00000e-03,
-1.9599997e-02,-4.00000e-03,
-1.9399997e-02,2.00000e-03,
-1.9199997e-02,2.00000e-03,
-1.8999998e-02,8.00000e-03,
-1.8799998e-02,6.00000e-03,
-1.8599998e-02,4.00000e-03,
-1.8399999e-02,4.00000e-03,
-1.8199995e-02,-2.00000e-03,
-1.7999995e-02,0.00000e+00,
-1.7799996e-02,-6.00000e-03,
-1.7599996e-02,-6.00000e-03,
-1.7399997e-02,-8.00000e-03,
-1.7199997e-02,-6.00000e-03,
-1.6999997e-02,0.00000e+00,
-1.6799998e-02,2.00000e-03,
-1.6599998e-02,1.00000e-02,
-1.6399998e-02,1.00000e-02,
-1.6199999e-02,1.20000e-02,
-1.5999995e-02,1.00000e-02,
-1.5799996e-02,2.00000e-03,
